4xss_B.pdb	4xss_B.pdb
4xss_B.pdb	1h59_A.pdb
6e5b_N.pdb	6e5b_N.pdb
6e5b_N.pdb	6kwy_N.pdb
6e5b_N.pdb	1nw9_B.pdb
6e5b_N.pdb	6e5b_M.pdb
6e5b_N.pdb	6kwy_M.pdb
6e5b_N.pdb	6e5b_K.pdb
6e5b_N.pdb	3wso_A.pdb
6e5b_N.pdb	5le5_A.pdb
6e5b_N.pdb	6kwy_A.pdb
6e5b_N.pdb	6e5b_A.pdb
6e5b_N.pdb	6kwy_K.pdb
6e5b_N.pdb	5j1s_B.pdb
6e5b_N.pdb	6wlz_G.pdb
6e5b_N.pdb	6e5b_L.pdb
6e5b_N.pdb	6kwy_L.pdb
6e5b_N.pdb	6spz_A.pdb
6e5b_N.pdb	3u5p_A.pdb
6e5b_N.pdb	2d07_A.pdb
6e5b_N.pdb	1wyw_A.pdb
6e5b_N.pdb	3a98_B.pdb
6e5b_N.pdb	1fq1_A.pdb
6e5b_N.pdb	3doe_A.pdb
6e5b_N.pdb	6fae_B.pdb
6e5b_N.pdb	5fb0_A.pdb
6e5b_N.pdb	5ee5_B.pdb
6e5b_N.pdb	4kax_A.pdb
6e5b_N.pdb	1upt_A.pdb
6e5b_N.pdb	4bvy_A.pdb
6e5b_N.pdb	5y6l_A.pdb
6e5b_N.pdb	1a22_B.pdb
6e5b_N.pdb	4qqi_A.pdb
6e5b_N.pdb	3v30_A.pdb
6e5b_N.pdb	3v31_A.pdb
6e5b_N.pdb	3uxg_A.pdb
6e5b_N.pdb	6khs_A.pdb
6e5b_N.pdb	3d48_R.pdb
6j8f_C.pdb	6j8f_C.pdb
3k6g_D.pdb	3k6g_D.pdb
4naw_D.pdb	4naw_D.pdb
1lqb_A.pdb	1lqb_A.pdb
1lqb_A.pdb	2izv_B.pdb
1lqb_A.pdb	2o2v_A.pdb
1lqb_A.pdb	2npt_A.pdb
1lqb_A.pdb	5jh5_D.pdb
1lqb_A.pdb	4hpl_A.pdb
1lqb_A.pdb	4y5o_B.pdb
1lqb_A.pdb	5tuv_A.pdb
1lqb_A.pdb	7l0j_B.pdb
1lqb_A.pdb	6umt_A.pdb
1lqb_A.pdb	5ius_A.pdb
1lqb_A.pdb	4drj_A.pdb
1lqb_A.pdb	1ghq_B.pdb
1lqb_A.pdb	6m4g_C.pdb
2qme_I.pdb	2qme_I.pdb
4yc6_B.pdb	4yc6_B.pdb
4yc6_B.pdb	1buh_B.pdb
4yc6_B.pdb	2ast_C.pdb
6kdr_D.pdb	6kdr_D.pdb
4h36_B.pdb	4h36_B.pdb
4d07_B.pdb	4d07_B.pdb
1obz_P.pdb	1obz_P.pdb
4bd2_C.pdb	4bd2_C.pdb
4bd2_C.pdb	4zeq_B.pdb
4bd2_C.pdb	4qve_B.pdb
4x5w_C.pdb	4x5w_C.pdb
3pth_B.pdb	3pth_B.pdb
4x0l_A.pdb	4x0l_A.pdb
4x0l_A.pdb	1z8u_B.pdb
4x0l_A.pdb	4mqk_A.pdb
4x0l_A.pdb	3w4u_A.pdb
4x0l_A.pdb	1shr_A.pdb
4x0l_A.pdb	1a9w_A.pdb
4x0l_A.pdb	6kye_A.pdb
4x0l_A.pdb	1shr_B.pdb
4x0l_A.pdb	4x0l_B.pdb
4x0l_A.pdb	4mqk_B.pdb
4x0l_A.pdb	3w4u_B.pdb
4x0l_A.pdb	1a9w_E.pdb
4x0l_A.pdb	6kye_B.pdb
5wrv_A.pdb	5wrv_A.pdb
3c5j_C.pdb	3c5j_C.pdb
3g2s_C.pdb	3g2s_C.pdb
6itu_B.pdb	6itu_B.pdb
6ehr_F.pdb	6ehr_F.pdb
6ehr_F.pdb	5x6v_F.pdb
6ehr_F.pdb	2fcw_A.pdb
6ehr_F.pdb	6cwx_A.pdb
6ehr_F.pdb	5zoj_D.pdb
6ehr_F.pdb	5zok_B.pdb
6ehr_F.pdb	6uva_E.pdb
6ehr_F.pdb	6l81_A.pdb
6ehr_F.pdb	2gh0_C.pdb
6ehr_F.pdb	7dvq_6.pdb
6ehr_F.pdb	4yiq_A.pdb
